Access Time,Client IP,Client Port,HTTP Response Status,Requested File Name
"Tue, 18 Apr 2023 23:00:48 -0000",127.0.0.1,59082,200 OK,index.html
"Tue, 18 Apr 2023 23:00:48 -0000",127.0.0.1,59083,200 OK,Cat_In_Box.jpg
"Tue, 18 Apr 2023 23:00:48 -0000",127.0.0.1,59084,200 OK,Github_Cat.png
"Tue, 18 Apr 2023 23:00:48 -0000",127.0.0.1,59086,200 OK,Bendy.png
"Tue, 18 Apr 2023 23:00:48 -0000",127.0.0.1,59087,200 OK,Bendy.png
"Tue, 18 Apr 2023 23:10:42 -0000",127.0.0.1,59145,400 Bad Request,400.html
"Tue, 18 Apr 2023 23:11:17 -0000",127.0.0.1,59169,200 OK,index.html
"Tue, 18 Apr 2023 23:16:36 -0000",127.0.0.1,60907,200 OK,index.html
"Tue, 18 Apr 2023 23:18:28 -0000",127.0.0.1,60927,200 OK,index.html
"Tue, 18 Apr 2023 23:19:45 -0000",127.0.0.1,60953,400 Bad Request,400.html
"Tue, 18 Apr 2023 23:22:26 -0000",127.0.0.1,60981,404 Not Found,114514
"Tue, 18 Apr 2023 23:24:45 -0000",127.0.0.1,61009,404 Not Found,114514
"Tue, 18 Apr 2023 23:25:20 -0000",127.0.0.1,61026,200 OK,index.html
"Tue, 18 Apr 2023 23:28:38 -0000",127.0.0.1,61059,400 Bad Request,400.html
"Tue, 18 Apr 2023 23:37:23 -0000",127.0.0.1,64058,400 Bad Request,400.html
